2524,1.043,-0.521,-0.521
2526,0.978,-0.489,-0.489
2528,0.880,-0.440,-0.440
2530,0.782,-0.391,-0.391
2532,0.658,-0.329,-0.329
2535,0.534,-0.267,-0.267
2537,0.398,-0.199,-0.199
2539,0.267,-0.134,-0.134
2541,0.130,-0.065,-0.065
2543,-0.007,0.013,-0.007
2545,-0.088,0.176,-0.088
2547,-0.169,0.339,-0.169
2549,-0.261,0.521,-0.261
2551,-0.368,0.736,-0.368
2554,-0.469,0.938,-0.469
2556,-0.573,1.147,-0.573
2559,-0.668,1.336,-0.668
2561,-0.749,1.499,-0.749
2563,-0.808,1.616,-0.808
2565,-0.844,1.688,-0.844
2567,-0.850,1.701,-0.850
2569,-0.828,1.655,-0.828
2572,-0.775,1.551,-0.775
2574,-0.701,1.401,-0.701
2576,-0.600,1.199,-0.600
2578,-0.482,0.964,-0.482
2580,-0.349,0.697,-0.349
2582,-0.212,0.424,-0.212
2585,-0.078,0.156,-0.078
2587,0.072,-0.036,-0.036
2589,0.352,-0.176,-0.176
2591,0.658,-0.329,-0.329
2593,0.978,-0.489,-0.489
2595,1.284,-0.642,-0.642
2597,1.551,-0.775,-0.775
2601,1.766,-0.883,-0.883
2603,1.903,-0.951,-0.951
2605,1.962,-0.981,-0.981
2607,1.916,-0.958,-0.958
2609,1.792,-0.896,-0.896
2611,1.590,-0.795,-0.795
2614,1.323,-0.661,-0.661
2616,0.991,-0.495,-0.495
2618,0.639,-0.319,-0.319
2620,0.287,-0.143,-0.143
2622,-0.016,0.033,-0.016
2624,-0.192,0.384,-0.192
2627,-0.388,0.775,-0.388
2629,-0.590,1.180,-0.590
2631,-0.766,1.531,-0.766
2633,-0.919,1.838,-0.919
2635,-1.026,2.053,-1.026
2637,-1.085,2.170,-1.085
2639,-1.075,2.151,-1.075
2643,-1.007,2.014,-1.007
2645,-0.890,1.779,-0.890
2647,-0.723,1.447,-0.723
2649,-0.518,1.036,-0.518
2651,-0.287,0.573,-0.287
2653,-0.075,0.150,-0.075
2656,0.228,-0.114,-0.114
2658,0.691,-0.345,-0.345
2660,1.193,-0.596,-0.596
2662,1.649,-0.824,-0.824
2664,2.014,-1.007,-1.007
2666,2.268,-1.134,-1.134
2669,2.372,-1.186,-1.186
2671,2.326,-1.163,-1.163
2673,2.124,-1.062,-1.062
2675,1.792,-0.896,-0.896
2677,1.355,-0.678,-0.678
2679,0.834,-0.417,-0.417
2681,0.319,-0.160,-0.160
2684,-0.072,0.143,-0.072
2687,-0.313,0.626,-0.313
2689,-0.583,1.167,-0.583
2691,-0.828,1.655,-0.828
2693,-1.023,2.046,-1.023
2695,-1.153,2.307,-1.153
2698,-1.209,2.418,-1.209
2700,-1.183,2.366,-1.183
2702,-1.079,2.157,-1.079
2704,-0.903,1.805,-0.903
2706,-0.678,1.355,-0.678
2708,-0.411,0.821,-0.411
2711,-0.150,0.300,-0.150
2713,0.117,-0.059,-0.059
2715,0.600,-0.300,-0.300
2717,1.134,-0.567,-0.567
2719,1.616,-0.808,-0.808
2721,2.001,-1.000,-1.000
2723,2.274,-1.137,-1.137
2726,2.392,-1.196,-1.196
2729,2.353,-1.176,-1.176
2731,2.170,-1.085,-1.085
2733,1.870,-0.935,-0.935
2735,1.473,-0.736,-0.736
2737,1.010,-0.505,-0.505
2740,0.515,-0.257,-0.257
2742,0.098,-0.049,-0.049
2744,-0.153,0.306,-0.153
2746,-0.362,0.723,-0.362
2748,-0.577,1.153,-0.577
2750,-0.762,1.525,-0.762
2753,-0.906,1.812,-0.906
2755,-1.013,2.027,-1.013
2757,-1.059,2.118,-1.059
2759,-1.056,2.111,-1.056
2761,-0.991,1.981,-0.991
2763,-0.886,1.773,-0.886
2766,-0.753,1.505,-0.753
2768,-0.593,1.186,-0.593
2771,-0.414,0.828,-0.414
2773,-0.235,0.469,-0.235
2775,-0.085,0.169,-0.085
2777,0.078,-0.039,-0.039
2779,0.352,-0.176,-0.176
2782,0.626,-0.313,-0.313
2784,0.899,-0.450,-0.450
2786,1.127,-0.564,-0.564
2788,1.316,-0.658,-0.658
2790,1.460,-0.730,-0.730
2792,1.544,-0.772,-0.772
2795,1.577,-0.789,-0.789
2797,1.564,-0.782,-0.782
2799,1.499,-0.749,-0.749
2801,1.388,-0.694,-0.694
2803,1.264,-0.632,-0.632
2805,1.108,-0.554,-0.554
2808,0.951,-0.476,-0.476
2810,0.795,-0.398,-0.398
2812,0.632,-0.316,-0.316
2815,0.489,-0.244,-0.244
2817,0.365,-0.182,-0.182
2819,0.248,-0.124,-0.124
2821,0.150,-0.075,-0.075
2824,0.059,-0.029,-0.029
2826,-0.003,0.007,-0.003
2828,-0.036,0.072,-0.036
2830,-0.065,0.130,-0.065
2832,-0.088,0.176,-0.088
2834,-0.104,0.209,-0.104
2837,-0.117,0.235,-0.117
2839,-0.127,0.254,-0.127
2841,-0.134,0.267,-0.134
2843,-0.140,0.280,-0.140
2845,-0.137,0.274,-0.137
2847,-0.143,0.287,-0.143
2850,-0.137,0.274,-0.137
2852,-0.130,0.261,-0.130
2854,-0.127,0.254,-0.127
2857,-0.114,0.228,-0.114
2859,-0.108,0.215,-0.108
2861,-0.098,0.196,-0.098
2863,-0.088,0.176,-0.088
2866,-0.068,0.137,-0.068
2868,-0.059,0.117,-0.059
2870,-0.039,0.078,-0.039
2872,-0.026,0.052,-0.026
